ZONE,PER,QUANTITY
1,PER01,2504
1,PER02,1746
1,PER03,-2361
1,PER04,-5314
1,PER05,1218
1,PER06,556
1,PER07,171
1,PER08,-437
1,PER09,-73
1,PER10,6041
1,PER11,-16
1,PER12,54
1,PER13,-54
1,PER14,-67
1,PER15,-7
1,PER16,49
1,PER17,7
1,PER18,189
1,PER19,371
1,PER20,349
1,PER21,191
1,PER22,188
1,PER23,-98
1,PER24,-97
1,PER25,-139
1,PER26,-217
1,PER27,-148
1,PER28,46
1,PER29,72
1,PER30,6
1,PER31,-17
1,PER32,-320
1,PER33,-519
1,PER34,-230
1,PER35,22
1,PER36,-5715
1,PER37,-531
1,PER38,-799
1,PER39,328
1,PER40,1032
1,PER41,608
1,PER42,-9
1,PER43,-1000
1,PER44,-425
1,PER45,2374
1,PER46,2504
1,PER47,0
1,PER48,6112
2,PER01,3
2,PER02,983
2,PER03,-4592
2,PER04,-5306
2,PER05,-242
2,PER06,-425
2,PER07,676
2,PER08,68
2,PER09,188
2,PER10,-265
2,PER11,-76
2,PER12,-152
2,PER13,-12
2,PER14,-56
2,PER15,-160
2,PER16,-53
2,PER17,-123
2,PER18,-79
2,PER19,-113
2,PER20,-13
2,PER21,32
2,PER22,170
2,PER23,94
2,PER24,66
2,PER25,168
2,PER26,182
2,PER27,77
2,PER28,-50
2,PER29,-212
2,PER30,-212
2,PER31,-132
2,PER32,-216
2,PER33,35
2,PER34,283
2,PER35,269
2,PER36,264
2,PER37,-5297
2,PER38,1254
2,PER39,1901
2,PER40,-588
2,PER41,-1076
2,PER42,4532
2,PER43,4986
2,PER44,-14
2,PER45,-4906
2,PER46,-3142
2,PER47,-3964
2,PER48,-2516
3,PER01,-4592
3,PER02,-2
3,PER03,799
3,PER04,-711
3,PER05,57
3,PER06,48
3,PER07,181
3,PER08,-35
3,PER09,48
3,PER10,16
3,PER11,19
3,PER12,47
3,PER13,69
3,PER14,29
3,PER15,47
3,PER16,45
3,PER17,55
3,PER18,46
3,PER19,37
3,PER20,16
3,PER21,37
3,PER22,29
3,PER23,25
3,PER24,6
3,PER25,-18
3,PER26,-68
3,PER27,-44
3,PER28,15
3,PER29,11
3,PER30,-78
3,PER31,-46
3,PER32,-149
3,PER33,-69
3,PER34,-80
3,PER35,6021
3,PER36,-167
3,PER37,-306
3,PER38,-394
3,PER39,26
3,PER40,436
3,PER41,401
3,PER42,465
3,PER43,120
3,PER44,-217
3,PER45,-679
3,PER46,232
3,PER47,241
3,PER48,5578
4,PER01,-6109
4,PER02,-6109
4,PER03,2902
4,PER04,318
4,PER05,263
4,PER06,573
4,PER07,-504
4,PER08,95
4,PER09,-173
4,PER10,-93
4,PER11,-364
4,PER12,-208
4,PER13,-238
4,PER14,-240
4,PER15,-283
4,PER16,-185
4,PER17,-214
4,PER18,-149
4,PER19,-200
4,PER20,-331
4,PER21,-389
4,PER22,-229
4,PER23,-130
