HEX_ID,TAZ,TRIPS
,1,3306
,2,5607
,3,44440
,4,5863
,5,7677
,6,4346
,7,18014
,8,2679
,9,2235
,10,83124
,11,1368
,12,457
,13,7711
,14,17992
,15,3145
,16,2782
,17,2034
,18,3461
,19,1866
,20,7482
,21,675
,22,1289
,23,280
,24,366
,25,8183
,26,20518
,27,2151
,28,16716
,29,139
,30,3796
,31,1311
,32,3130
,33,2584
,34,1456
,35,2566
,36,1372
,37,417
,38,2953
,39,6321
,40,3174
,41,56308
,42,11539
,43,8311
,44,18374
,45,53747
,46,6123
,47,10218
,48,6327
,49,1052
,50,1909
,51,1138
,52,34410
,53,19697
,54,44953
,55,20520
,56,19863
,57,11905
,58,79218
,59,65403
,60,13927
,61,136230
,62,14118
,63,31879
,64,7955
,65,2562
,66,10506
,67,19534
,68,33188
,69,101990
,70,47090
,71,39435
,72,28008
,73,8472
,74,13957
,75,33660
,76,36105
,77,54738
,78,21904
,79,46298
,80,57570
,81,9472
,82,19010
,83,9991
,84,20267
,85,113663
,86,54995
,87,142711
,88,27025
,89,23942
,90,39046
,91,31838
,92,16325
,93,10269
,94,46989
,95,45238
,96,36894
,97,71632
,98,43778
,99,7607
,100,9495
,101,99033
,102,51842
,103,16120
,104,84994
,105,3119
,106,74070
,107,44830
,108,30586
,109,3185
,110,2678
,111,27474
,112,4851
,113,9058
,114,34525
,115,4414
,116,1383
,117,38324
,118,42144
,119,72929
,120,40380
,121,9712
,122,100493
,123,52857
,124,98877
,125,39360
,126,17251
,127,6378
,128,12089
,129,4165
,130,68673
,131,74655
,132,41015
,133,10907
,134,6871
,135,87415
,136,848
,137,6464
,138,6418
,139,23946
,140,14197
,141,65706
,142,2878
,143,17459
,144,14487
,145,25463
,146,82896
,147,40170
,148,5090
,149,1351
,150,26816
,151,12664
,152,15800
,153,2740
,154,21442
,155,15563
,156,24947
,157,9034
,158,778
,159,12845
,160,3116
,161,21828
,162,16743
,163,25558
,164,9628
,165,10325
,166,25623
,167,15640
,168,28298
,169,19466
,170,173438
,171,88864
,172,27708
,173,34618
,174,48766
,175,5153
,176,47053
,177,32047
,178,12752
,179,2019
,180,18176
,181,12864
,182,36329
,183,4271
,184,23265
,185,18868
,186,17829
,187,1162
,188,9794
,189,4552
,190,17396
,191,2445
,192,13654
,193,4944
,194,8496
,195,70610
,196,76031
,197,51961
,198,69771
,199,65345
,200,10055
,201,10950
,202,45449
,203,228
,204,23235
,205,1563
,206,72274
,207,5009
,208,82620
,209,3306
,210,64047
,211,47051
,212,11338
,213,2429
,214,22263
,215,21877
,216,9223
,217,3464
,218,144
,219,4134
,220,51785
,221,67197
,222,687
,223,3748
,224,9118
,225,18179
,226,5377
,227,4311
,228,29815
,229,667
,230,511
,231,3759
,232,11689
,233,4117
,234,18467
,235,573
,236,4765
,237,7131
,238,16571
,239,25937
,240,60620
,241,24613
,242,1432
,243,57096
,244,53126
,245,15266
,246,90431
,247,54699
,248,124282
,249,22067
,250,14958
,251,10311
,252,2240
,253,838
,254,26140
,255,41709
,256,39470
,257,10392
,258,21796
,259,13717
,260,5169
,261,43596
,262,27283
,263,4287
,264,16454
,265,351
,266,1161
,267,2098
,268,6133
,269,872
,270,8263
,271,73366
,272,901
,273,3787
,274,17308
,275,4374
,276,11695
,277,441
,278,16570
,279,7632
,280,12377
,281,38522
,282,9452
,283,11185
,284,270
,285,24840
,286,79517
,287,229075
,288,15363
,289,141058
,290,26452
,292,1278
,293,21098
,294,1550
,295,13660
,296,81307
,297,173870
,298,6650
,299,593
,300,1448
,301,71441
,302,156016
,303,152418
,304,85418
,305,23224
,306,759
,307,12456
,308,7930
,309,4852
,310,11154
,311,52574
,312,18916
,313,2262
,314,100246
,315,49594
,316,3141
,317,12817
,318,1331
,319,42163
,320,2106
,321,926
,322,603
,323,762
,324,159
,325,1426
,326,10890
,327,41514
,328,47569
,329,9677
,330,21741
,331,1163
,332,2132
,333,20878
,334,9599
,335,2959
,336,47695
,337,32639
,338,43250
,339,13215
,340,51161
,341,41155
,342,60953
,343,68710
,344,7791
,345,36329
,346,203554
,347,112072
,348,9724
,349,8363
,350,14029
,351,4560
,352,26545
,353,25826
,354,625
,355,45645
,356,7814
,357,13613
,358,78528
,359,2216
,360,16000
,361,19559
,362,11846
,363,16819
,364,41798
,365,17188
,366,23936
,367,151948
,368,41979
,369,1482
,370,785
,371,3889
,372,8891
,373,15499
,374,4392
,375,19889
,376,18737
,377,478
,378,11985
,379,13098
,380,30318
,381,10494
