HID,TAZ,TRIPS
,1,2453
,2,5921
,3,50182
,4,6553
,5,9788
,6,6092
,7,21949
,8,3458
,9,2597
,10,86574
,11,1265
,12,684
,13,8148
,14,22790
,15,2993
,16,3867
,17,2402
,18,4371
,19,1556
,20,8031
,21,853
,22,1226
,23,516
,24,415
,25,6522
,26,23010
,27,3040
,28,17332
,29,234
,30,4493
,31,1832
,32,3521
,33,2780
,34,2279
,35,3104
,36,1608
,37,367
,38,3917
,39,8611
,40,2784
,41,59289
,42,12734
,43,10116
,44,19817
,45,52968
,46,8113
,47,10442
,48,6290
,49,1210
,50,1962
,51,889
,52,40097
,53,24357
,54,57880
,55,27518
,56,29380
,57,13735
,58,95371
,59,84924
,60,14219
,61,155558
,62,20019
,63,37488
,64,10068
,65,3832
,66,16845
,67,29672
,68,42853
,69,121714
,70,57658
,71,56337
,72,37112
,73,7731
,74,28391
,75,35718
,76,42727
,77,44461
,78,19364
,79,44802
,80,59190
,81,13857
,82,21512
,83,9971
,84,22277
,85,119447
,86,55739
,87,160244
,88,27084
,89,29362
,90,42664
,91,37197
,92,19847
,93,12418
,94,48993
,95,54320
,96,40398
,97,87074
,98,47028
,99,7835
,100,9721
,101,104724
,102,51589
,103,18249
,104,87808
,105,2914
,106,82459
,107,43174
,108,34642
,109,3866
,110,3110
,111,27732
,112,4913
,113,10625
,114,35968
,115,4419
,116,1868
,117,36078
,118,42550
,119,77183
,120,42236
,121,10289
,122,109071
,123,46754
,124,100286
,125,45864
,126,16993
,127,7924
,128,15269
,129,6164
,130,71331
,131,77034
,132,43640
,133,13878
,134,6700
,135,92145
,136,1123
,137,6894
,138,7265
,139,23190
,140,19353
,141,67258
,142,2945
,143,20461
,144,19202
,145,27646
,146,85864
,147,41535
,148,5952
,149,1413
,150,28083
,151,13751
,152,16670
,153,2881
,154,24501
,155,19509
,156,26395
,157,11128
,158,910
,159,13889
,160,4263
,161,24523
,162,17298
,163,22396
,164,14021
,165,12343
,166,27488
,167,20319
,168,30272
,169,19886
,170,180964
,171,90666
,172,29877
,173,39204
,174,48781
,175,5089
,176,45773
,177,38109
,178,14932
,179,2105
,180,17383
,181,14722
,182,37948
,183,4994
,184,28180
,185,20358
,186,19758
,187,1091
,188,11399
,189,4923
,190,20334
,191,2730
,192,13918
,193,4818
,194,9251
,195,69527
,196,88920
,197,55999
,198,75930
,199,69337
,200,10236
,201,12238
,202,45564
,203,289
,204,23362
,205,1822
,206,74389
,207,5621
,208,88564
,209,3116
,210,75526
,211,48965
,212,11862
,213,3281
,214,22809
,215,25106
,216,9300
,217,3438
,218,112
,219,3583
,220,58046
,221,70678
,222,612
,223,4509
,224,10538
,225,19292
,226,6900
,227,2963
,228,28648
,229,623
,230,711
,231,4068
,232,14779
,233,4498
,234,19609
,235,636
,236,4716
,237,9107
,238,23960
,239,29831
,240,70021
,241,26995
,242,1782
,243,60408
,244,56712
,245,15993
,246,103024
,247,59546
,248,125935
,249,28510
,250,17977
,251,9348
,252,5920
,253,162
,254,22578
,255,47674
,256,49413
,257,11032
,258,22853
,259,13368
,260,6656
,261,46123
,262,32045
,263,5359
,264,17725
,265,597
,266,1004
,267,1770
,268,6342
