"ORIG_FIPS","DEST_FIPS","origin_county","destination_county","ALLALL","WRKALL","NWKALL","ALLSOV","ALLHOV","ALLTRN","ALLWALK","ALLBIKE","Origin_Long","Origin_Lat","Dest_Long","Dest_Lat"
13013,13013,"BARROW","BARROW",245835,42616,203219,85608,147982,0,10898,1347,-83.712737,33.993199,-83.712737,33.993199
13013,13015,"BARROW","BARTOW",1,1,0,1,0,0,0,0,-83.712737,33.993199,-84.840525,34.237806
13013,13057,"BARROW","CHEROKEE",201,90,111,96,105,0,0,0,-83.712737,33.993199,-84.476236,34.243896
13013,13063,"BARROW","CLAYTON",118,79,39,83,32,3,0,0,-83.712737,33.993199,-84.357684,33.541836
13013,13067,"BARROW","COBB",643,395,248,418,225,0,0,0,-83.712737,33.993199,-84.576684,33.941426
13013,13085,"BARROW","DAWSON",69,42,27,40,29,0,0,0,-83.712737,33.993199,-84.17054,34.44427
13013,13089,"BARROW","DEKALB",4025,2424,1601,2508,1509,8,0,0,-83.712737,33.993199,-84.226356,33.77148
13013,13097,"BARROW","DOUGLAS",14,5,9,7,7,0,0,0,-83.712737,33.993199,-84.767979,33.701813
13013,13113,"BARROW","FAYETTE",5,0,5,1,4,0,0,0,-83.712737,33.993199,-84.494169,33.4139
13013,13117,"BARROW","FORSYTH",1676,966,710,997,679,0,0,0,-83.712737,33.993199,-84.125061,34.225486
13013,13121,"BARROW","FULTON",4408,2741,1667,2652,1694,62,0,0,-83.712737,33.993199,-84.467627,33.789892
13013,13135,"BARROW","GWINNETT",53510,18451,35059,23501,29911,4,28,66,-83.712737,33.993199,-84.023657,33.961676
13013,13139,"BARROW","HALL",9820,3798,6022,4669,5136,1,1,13,-83.712737,33.993199,-83.819766,34.316798
13013,13151,"BARROW","HENRY",166,92,74,93,73,0,0,0,-83.712737,33.993199,-84.154174,33.452972
13013,13217,"BARROW","NEWTON",757,479,278,510,247,0,0,0,-83.712737,33.993199,-83.850189,33.555014
13013,13223,"BARROW","PAULDING",2,2,0,2,0,0,0,0,-83.712737,33.993199,-84.867312,33.920496
13013,13247,"BARROW","ROCKDALE",830,552,278,541,289,0,0,0,-83.712737,33.993199,-84.026652,33.65421
13013,13255,"BARROW","SPALDING",5,3,2,3,2,0,0,0,-83.712737,33.993199,-84.284165,33.260886
13013,13297,"BARROW","WALTON",12957,4067,8890,5405,7543,0,0,9,-83.712737,33.993199,-83.733833,33.781544
13015,13013,"BARTOW","BARROW",1,1,0,1,0,0,0,0,-84.840525,34.237806,-83.712737,33.993199
13015,13015,"BARTOW","BARTOW",360641,92061,268580,144202,200781,0,13826,1832,-84.840525,34.237806,-84.840525,34.237806
13015,13045,"BARTOW","CARROLL",463,216,247,268,195,0,0,0,-84.840525,34.237806,-85.079807,33.582781
13015,13057,"BARTOW","CHEROKEE",16931,6748,10183,8551,8365,0,5,10,-84.840525,34.237806,-84.476236,34.243896
13015,13063,"BARTOW","CLAYTON",86,60,26,64,20,2,0,0,-84.840525,34.237806,-84.357684,33.541836
13015,13067,"BARTOW","COBB",34312,14078,20234,17451,16748,11,34,68,-84.840525,34.237806,-84.576684,33.941426
13015,13077,"BARTOW","COWETA",7,5,2,7,0,0,0,0,-84.840525,34.237806,-84.763334,33.353446
13015,13085,"BARTOW","DAWSON",72,44,28,59,13,0,0,0,-84.840525,34.237806,-84.17054,34.44427
13015,13089,"BARTOW","DEKALB",1308,672,636,715,592,1,0,0,-84.840525,34.237806,-84.226356,33.77148
13015,13097,"BARTOW","DOUGLAS",747,442,305,460,287,0,0,0,-84.840525,34.237806,-84.767979,33.701813
13015,13113,"BARTOW","FAYETTE",7,4,3,3,4,0,0,0,-84.840525,34.237806,-84.494169,33.4139
13015,13117,"BARTOW","FORSYTH",897,444,453,496,401,0,0,0,-84.840525,34.237806,-84.125061,34.225486
13015,13121,"BARTOW","FULTON",5968,3209,2759,3371,2565,32,0,0,-84.840525,34.237806,-84.467627,33.789892
13015,13135,"BARTOW","GWINNETT",472,263,209,278,193,1,0,0,-84.840525,34.237806,-84.023657,33.961676
13015,13139,"BARTOW","HALL",29,17,12,22,7,0,0,0,-84.840525,34.237806,-83.819766,34.316798
13015,13151,"BARTOW","HENRY",16,5,11,8,8,0,0,0,-84.840525,34.237806,-84.154174,33.452972
13015,13223,"BARTOW","PAULDING",10930,4277,6653,5156,5772,0,1,1,-84.840525,34.237806,-84.867312,33.920496
13015,13247,"BARTOW","ROCKDALE",32,6,26,7,25,0,0,0,-84.840525,34.237806,-84.026652,33.65421
13015,13297,"BARTOW","WALTON",3,1,2,1,2,0,0,0,-84.840525,34.237806,-83.733833,33.781544
13045,13013,"CARROLL","BARROW",1,0,1,1,0,0,0,0,-85.079807,33.582781,-83.712737,33.993199
13045,13015,"CARROLL","BARTOW",463,217,246,257,206,0,0,0,-85.079807,33.582781,-84.840525,34.237806
13045,13045,"CARROLL","CARROLL",388675,103099,285576,157305,212459,1103,15743,2065,-85.079807,33.582781,-85.079807,33.582781
13045,13057,"CARROLL","CHEROKEE",166,77,89,88,78,0,0,0,-85.079807,33.582781,-84.476236,34.243896
13045,13063,"CARROLL","CLAYTON",705,432,273,451,251,3,0,0,-85.079807,33.582781,-84.357684,33.541836
13045,13067,"CARROLL","COBB",4854,2900,1954,3172,1681,1,0,0,-85.079807,33.582781,-84.576684,33.941426
13045,13077,"CARROLL","COWETA",7757,3972,3785,4730,3001,26,0,0,-85.079807,33.582781,-84.763334,33.353446
13045,13089,"CARROLL","DEKALB",909,480,429,534,370,5,0,0,-85.079807,33.582781,-84.226356,33.77148
13045,13097,"CARROLL","DOUGLAS",26160,7725,18435,11108,14904,7,96,45,-85.079807,33.582781,-84.767979,33.701813
13045,13113,"CARROLL","FAYETTE",1242,633,609,818,424,0,0,0,-85.079807,33.582781,-84.494169,33.4139
