GRID_ID,Trips
A-62,8.762943
A-63,28.722641
A-64,13.700823
A-65,1.442484
AA-15,5232.287648
AA-16,11366.66657
AA-17,10616.26947
AA-18,10907.85574
AA-19,9817.460391
AA-20,788.076584
AA-21,162.883065
AA-22,47.115027
AA-23,69.250233
AA-24,69.941896
AA-25,689.519287
AA-26,1257.591511
AA-27,2052.15841
AA-28,1373.097345
AA-29,1818.818377
AA-30,1763.337503
AA-31,2009.014837
AA-32,2353.126699
AA-33,2281.401146
AA-34,603.615879
AA-35,230.839939
AA-36,19.056639
AA-37,19.378685
AA-38,15.180056
AA-39,8.057232
AA-40,83.704343
AA-41,219.562074
AA-42,231.325581
AA-43,560.730584
AA-44,785.755785
AA-45,809.351933
AA-46,413.789103
AA-47,461.797412
AA-48,176.675151
AA-49,707.519055
AA-50,1985.294927
AA-51,1985.295042
AA-52,1179.073082
AA-53,650.45124
AA-54,912.459121
AA-55,1060.449823
AA-56,2856.076939
AA-57,33092.83445
AA-58,25280.65843
AA-59,4988.244569
AA-60,6262.221561
AA-61,4930.788642
AA-62,1844.961266
AA-63,1712.311039
AA-64,1332.791438
AA-65,1324.77208
AA-66,506.458719
AA-67,402.364115
AA-68,163.005906
AA-69,243.88695
AA-70,254.281451
AA-71,249.949914
AA-72,386.298973
AA-73,481.539533
AA-74,123.92453
AA-75,399.596605
AA-76,764.928335
AA-77,554.660162
AA-78,298.650334
AA-79,210.219742
AA-80,1083.607557
AA-81,1724.698877
AA-82,647.385365
AA-83,593.190235
AA-84,223.809226
AA-85,86.552016
AA-86,17.981004
AA-87,34.385176
AA-88,137.643089
AA-89,137.643089
AA-90,54.314525
AB-15,1233.997691
AB-16,3427.514591
AB-17,9102.664611
AB-18,2070.531909
AB-19,6845.78896
AB-20,1711.409628
AB-21,333.327503
AB-22,136.962054
AB-23,114.457789
AB-24,110.014688
AB-25,698.478512
AB-26,939.850141
AB-27,2052.158597
AB-28,1860.875481
AB-29,651.525108
AB-30,644.457119
AB-31,858.713878
AB-32,1885.413254
AB-33,2022.577494
AB-34,853.144114
AB-35,514.578862
AB-36,131.407185
AB-37,28.714784
AB-38,19.378685
AB-39,16.439087
AB-40,89.077369
AB-41,231.325589
AB-42,231.325589
AB-43,231.325602
AB-44,308.155841
AB-45,714.054993
AB-46,743.010162
AB-47,674.190035
AB-48,577.830917
AB-49,376.998176
AB-50,1980.615097
AB-51,1985.294994
AB-52,1985.294994
AB-53,3830.748357
AB-54,3356.853204
AB-55,814.43379
AB-56,752.058127
AB-57,20384.17516
AB-58,20736.24853
AB-59,4014.018577
AB-60,3764.422755
AB-61,3341.152352
AB-62,1118.777151
AB-63,1041.285896
AB-64,713.746293
AB-65,654.393769
AB-66,461.71538
AB-67,229.480076
AB-68,179.828784
AB-69,62.905804
AB-70,253.814453
AB-71,293.932848
AB-72,370.696795
AB-73,239.866336
AB-74,602.817933
AB-75,1037.170337
AB-76,436.489506
AB-77,294.219711
AB-78,202.721711
AB-79,237.447017
AB-80,1768.480455
AB-81,2404.301216
AB-82,706.955134
AB-83,219.889504
AB-84,191.505839
AB-85,100.191303
AB-86,66.168189
AB-87,41.327071
AB-88,106.225046
