ORIG_FIPS,DEST_FIPS,origin_county,destination_county,ALLALL,WRKALL,NWKALL,ALLSOV,ALLHOV,ALLTRN,ALLWALK,ALLBIKE,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat
13013,13013,BARROW,BARROW,323898,47029,276869,108579,200179,0,13600,1540,-83.712737,33.993199,-83.712737,33.993199
13013,13015,BARROW,BARTOW,10,1,9,1,9,0,0,0,-83.712737,33.993199,-84.840525,34.237806
13013,13057,BARROW,CHEROKEE,126,68,58,81,45,0,0,0,-83.712737,33.993199,-84.476236,34.243896
13013,13063,BARROW,CLAYTON,121,60,61,58,62,1,0,0,-83.712737,33.993199,-84.357684,33.541836
13013,13067,BARROW,COBB,799,482,317,508,289,2,0,0,-83.712737,33.993199,-84.576684,33.941426
13013,13077,BARROW,COWETA,1,1,0,0,1,0,0,0,-83.712737,33.993199,-84.763334,33.353446
13013,13085,BARROW,DAWSON,85,43,42,52,33,0,0,0,-83.712737,33.993199,-84.17054,34.44427
13013,13089,BARROW,DEKALB,4588,2599,1989,2812,1738,38,0,0,-83.712737,33.993199,-84.226356,33.77148
13013,13097,BARROW,DOUGLAS,9,8,1,6,3,0,0,0,-83.712737,33.993199,-84.767979,33.701813
13013,13113,BARROW,FAYETTE,9,5,4,5,4,0,0,0,-83.712737,33.993199,-84.494169,33.4139
13013,13117,BARROW,FORSYTH,1983,1065,918,1158,825,0,0,0,-83.712737,33.993199,-84.125061,34.225486
13013,13121,BARROW,FULTON,4957,2876,2081,2926,1960,71,0,0,-83.712737,33.993199,-84.467627,33.789892
13013,13135,BARROW,GWINNETT,67126,20519,46607,28239,38608,167,34,78,-83.712737,33.993199,-84.023657,33.961676
13013,13139,BARROW,HALL,11410,4232,7178,5485,5917,0,0,8,-83.712737,33.993199,-83.819766,34.316798
13013,13151,BARROW,HENRY,180,102,78,120,60,0,0,0,-83.712737,33.993199,-84.154174,33.452972
13013,13217,BARROW,NEWTON,954,540,414,586,368,0,0,0,-83.712737,33.993199,-83.850189,33.555014
13013,13223,BARROW,PAULDING,13,2,11,3,10,0,0,0,-83.712737,33.993199,-84.867312,33.920496
13013,13247,BARROW,ROCKDALE,847,566,281,527,320,0,0,0,-83.712737,33.993199,-84.026652,33.65421
