GRID_ID,Trips
A-62,11.829102
A-63,38.77271
A-64,18.211573
A-65,1.345019
AA-15,4449.823568
AA-16,10826.41254
AA-17,9837.231969
AA-18,31.868286
AA-19,58.027835
AA-20,429.343138
AA-21,167.2822
AA-22,21.859764
AA-23,59.357343
AA-24,60.276582
AA-25,883.712118
AA-26,1468.914388
AA-27,2185.158152
AA-28,1546.309779
AA-29,2143.849213
AA-30,2074.932369
AA-31,1129.350108
AA-32,1657.051345
AA-33,1813.831023
AA-34,519.385625
AA-35,227.40324
AA-36,37.398654
AA-37,38.030669
AA-38,31.1184
AA-39,19.391982
AA-40,127.406015
AA-41,321.392819
AA-42,338.189545
AA-43,621.465542
AA-44,839.959757
AA-45,835.23305
AA-46,448.036411
AA-47,526.136964
AA-48,332.453241
AA-49,865.979502
AA-50,2150.212001
AA-51,2150.212125
AA-52,1284.488739
AA-53,716.853133
AA-54,893.168243
AA-55,992.756814
AA-56,2341.515204
AA-57,14223.59335
AA-58,26700.84663
AA-59,5105.760923
AA-60,6164.05981
AA-61,4850.465318
AA-62,1821.646392
AA-63,1686.692283
AA-64,1353.430368
AA-65,1345.462192
AA-66,510.4232
AA-67,395.704702
AA-68,193.53544
AA-69,304.517734
AA-70,318.004627
AA-71,312.797857
AA-72,443.650097
AA-73,517.51435
AA-74,161.141183
AA-75,401.591947
AA-76,722.849258
AA-77,514.534166
AA-78,296.162625
AA-79,249.945106
AA-80,1181.42291
AA-81,1868.214404
AA-82,778.308591
AA-83,746.926738
AA-84,260.002225
AA-85,87.052459
AA-86,18.013291
AA-87,34.095384
AA-88,141.683829
AA-89,141.683829
AA-90,55.909018
AB-15,1413.299412
AB-16,3771.900287
AB-17,10305.36975
AB-18,2171.097684
AB-19,196.694424
AB-20,391.373388
AB-21,381.480254
AB-22,126.334858
AB-23,109.613074
AB-24,111.131415
AB-25,812.370817
AB-26,1182.493873
AB-27,2185.158351
AB-28,1981.161407
AB-29,693.868984
AB-30,685.089319
AB-31,950.532484
AB-32,2245.644388
AB-33,2419.213449
AB-34,922.599244
AB-35,489.311155
AB-36,156.470795
AB-37,50.971765
AB-38,38.03067
AB-39,33.191163
AB-40,127.817925
AB-41,338.189556
AB-42,338.189556
AB-43,338.189576
AB-44,424.516258
AB-45,926.398791
AB-46,850.436941
AB-47,723.853142
AB-48,648.046454
AB-49,533.788499
AB-50,2145.508536
AB-51,2150.212073
AB-52,2150.212073
AB-53,4348.686548
AB-54,3807.921456
AB-55,792.084124
AB-56,702.731586
AB-57,171.714352
AB-58,7848.604906
AB-59,4077.190915
AB-60,3716.006516
AB-61,3282.933261
AB-62,1106.231532
AB-63,997.0522
AB-64,758.758218
AB-65,694.64824
AB-66,511.933029
AB-67,280.687193
AB-68,209.285794
AB-69,69.6942
AB-70,305.877762
AB-71,359.170716
AB-72,438.867065
AB-73,279.693861
AB-74,663.97452
AB-75,1033.569199
AB-76,393.719418
AB-77,253.218189
AB-78,182.005358
AB-79,260.042848
AB-80,1901.377299
AB-81,2564.115674
AB-82,792.490652
AB-83,279.372438
AB-84,218.936087
AB-85,119.684708
AB-86,80.88436
AB-87,33.592164
AB-88,94.689315
AB-89,141.683842
AB-90,135.024976
AC-15,3102.485908
AC-16,1491.711426
AC-17,3121.915806
AC-18,412.521679
AC-19,440.983191
AC-20,450.718765
AC-21,235.770096
AC-22,173.890884
AC-23,270.959378
AC-24,263.037387
AC-25,1901.146996
AC-26,1840.423668
AC-27,2081.3535
AC-28,1875.474177
AC-29,2717.753943
AC-30,1274.535947
AC-31,1394.388451
AC-32,2950.681859
AC-33,1407.283318
AC-34,431.762834
AC-35,312.23742
AC-36,189.273601
AC-37,151.897288
AC-38,172.321222
AC-39,427.754791
AC-40,1913.743509
AC-41,1429.513778
AC-42,504.611148
AC-43,634.888483
AC-44,245.123979
AC-45,223.773054
AC-46,1449.467537
AC-47,1381.588853
AC-48,586.140929
AC-49,1255.434637
AC-50,1546.078717
AC-51,2080.689353
AC-52,8846.749765
AC-53,5515.117353
AC-54,3785.170114
AC-55,315.157825
AC-56,527.961645
AC-57,203.424549
AC-58,15602.78243
AC-59,2747.320211
AC-60,702.566095
AC-61,595.669962
AC-62,290.260153
AC-63,343.74235
AC-64,339.117245
AC-65,453.568451
AC-66,327.067834
AC-67,328.127709
AC-68,79.415358
AC-69,69.694196
AC-70,362.074726
AC-71,432.251224
AC-72,217.347703
AC-73,817.269964
AC-74,3244.550398
AC-75,2339.770203
AC-76,620.541595
AC-77,833.341774
AC-78,1066.423544
AC-79,1377.544737
AC-80,2500.406286
AC-81,483.132281
AC-82,168.779362
AC-83,201.631242
AC-84,142.906277
AC-85,73.870049
AC-86,216.919611
AC-87,69.544821
AC-88,115.971662
AC-89,141.683834
AC-90,61.629425
AD-15,34.718125
AD-16,308.428771
AD-17,144.014229
AD-18,120.155946
AD-19,333.040071
AD-20,437.711596
AD-21,506.485733
AD-22,562.820373
AD-23,383.68535
AD-24,233.946306
AD-25,200.939477
AD-26,2789.32793
AD-27,1520.409042
AD-28,1312.624721
AD-29,6590.852114
AD-30,6630.573266
AD-31,1105.947095
AD-32,2253.359175
AD-33,4698.886786
AD-34,262.584143
AD-35,247.449534
AD-36,189.849602
AD-37,189.849613
AD-38,468.186734
AD-39,511.929325
AD-40,1719.071228
AD-41,2149.440431
AD-42,1105.611154
AD-43,2491.818756
AD-44,2322.788221
AD-45,2384.86189
AD-46,2885.554227
AD-47,2717.12354
AD-48,924.027281
AD-49,2434.665453
AD-50,1875.217535
AD-51,2123.870623
AD-52,8608.025621
AD-53,11345.03299
AD-54,3953.436493
AD-55,2695.053837
AD-56,290.606166
AD-57,2003.956258
AD-58,1478.052639
AD-59,1219.055839
AD-60,830.419959
AD-61,762.739123
AD-62,769.713877
AD-63,451.278077
AD-64,350.288077
AD-65,545.935753
AD-66,856.177224
AD-67,1432.518342
AD-68,471.940224
AD-69,69.694197
AD-70,69.694193
AD-71,289.742039
AD-72,191.499408
AD-73,174.663274
AD-74,1327.094378
AD-75,2670.165617
AD-76,1910.044814
AD-77,1993.809574
AD-78,2051.008209
AD-79,1619.521195
AD-80,2717.056839
AD-81,302.49189
AD-82,206.259375
AD-83,214.996114
AD-84,383.85544
AD-85,309.486732
AD-86,377.084542
AD-87,410.000498
AD-88,46.921034
AD-89,87.694624
AD-90,138.975874
AD-91,9.741366
AD-92,16.19076
AD-93,0.236015
AE-15,69.85338
AE-16,63.325373
AE-17,82.629675
AE-18,108.110676
AE-19,1203.230201
AE-20,2239.424868
AE-21,3036.511805
AE-22,2862.167181
AE-23,1507.180445
AE-24,2372.085524
AE-25,21343.74911
AE-26,5003.423927
AE-27,1257.968277
AE-28,1859.553743
AE-29,3927.387293
AE-30,1419.093391
AE-31,3596.430362
AE-32,7249.226712
AE-33,2190.137107
AE-34,305.142213
AE-35,228.381466
AE-36,189.849615
AE-37,249.292734
AE-38,513.011995
AE-39,1649.09667
AE-40,2242.891421
AE-41,283.966024
AE-42,751.812038
AE-43,2181.385517
AE-44,3649.416995
AE-45,26686.86613
AE-46,14326.16989
AE-47,1039.758391
AE-48,832.641971
AE-49,6174.126434
AE-50,6368.087766
AE-51,7720.95657
AE-52,6590.614006
AE-53,3395.151672
AE-54,1572.262933
AE-55,329.05365
AE-56,991.047342
AE-57,1853.975167
AE-58,1216.93741
AE-59,828.635868
AE-60,843.463802
AE-61,2000.482629
AE-62,445.139343
AE-63,962.412373
AE-64,1948.306266
AE-65,7572.898839
AE-66,8276.319668
AE-67,3409.055966
AE-68,130.981675
AE-69,79.972271
AE-70,157.570501
AE-71,200.729222
AE-72,155.846048
AE-73,108.232086
AE-74,1177.961485
AE-75,1557.748551
AE-76,2008.78649
AE-77,2204.721727
AE-78,2039.449186
AE-79,2488.269005
AE-80,4621.369395
AE-81,3497.197008
AE-82,463.310218
AE-83,512.480329
AE-84,399.333123
AE-85,331.225398
AE-86,474.806316
AE-87,116.603393
AE-88,88.12055
AE-89,112.935518
AE-90,986.128039
AE-91,10.577642
AE-92,6.348524
AF-15,26.809301
AF-16,155.161597
